"","X","Gene","Yap_2021","Tyssowski_2018","Hrvatin_2018","n_Yap_methods","na_sums"
"1",1,"Serpinb2","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"2",2,"Sprr1a","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"3",3,"Wnt9b","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"4",4,"Timp1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"5",5,"Rrad","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"6",6,"Etv3l","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"7",7,"Drd4","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"8",8,"Muc3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"9",9,"Actg2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"10",10,"Krt6a","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"11",11,"Atp12a","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"12",12,"LOC102639902","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"13",13,"Atf3","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs (TF)",1,3
"14",14,"Hspb1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"15",15,"Cda","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"16",16,"Gprc5a","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"17",17,"Col10a1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"18",18,"Krt75","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"19",19,"Gcg","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"20",20,"Ccl3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"21",21,"Mall","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_SRGs",1,2
"22",22,"Sp7","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"23",23,"Slc10a6","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"24",24,"Hspa1a","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"25",25,"Inhba","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_SRGs (sec)",3,2
"26",26,"Ifi202b","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"27",27,"Fos","CaMK2a-Ribotag_6h post KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs (TF)",1,3
"28",28,"Npas4","CaMK2a-Ribotag_6h post KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs (TF)",1,3
"29",29,"6430628N08Rik","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"30",30,"Fgf3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"31",31,"Thbs1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_SRGs",1,2
"32",32,"Trh","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"33",33,"Fosb","CaMK2a-Ribotag_6h post KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs (TF)",1,3
"34",34,"Lce1g","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"35",35,"Lif","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"36",36,"Bcl3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"37",37,"Hspa1b","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"38",38,"Slc15a1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"39",39,"Fam110c","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"40",40,"Il1rn","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"41",41,"Ascl2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"42",42,"Acan","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"43",43,"Cyr61","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_PRGs (sec)",2,2
"44",44,"Sdc1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"45",45,"Procr","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"46",46,"Maff","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs (TF)",2,3
"47",47,"Xirp1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"48",48,"Socs3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"49",49,"Tll1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_SRGs",NA,2,2
"50",50,"Areg","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"51",51,"Plet1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"52",52,"Crh","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs (sec)",1,2
"53",53,"Hist4h4","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"54",54,"Fndc9","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"55",55,"Mapkapk3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"56",56,"Gadd45g","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs",2,3
"57",57,"Cxcr4","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"58",58,"Pthlh","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"59",59,"Pim1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_PRGs",2,2
"60",60,"Bag3","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"61",61,"F2rl2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"62",62,"Cd14","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"63",63,"Gal","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"64",64,"Itprip","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"65",65,"Sphk1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"66",66,"Ptgs2","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",2,3
"67",67,"Dntt","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"68",68,"Alb","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"69",69,"Baz1a","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"70",70,"Trim38","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"71",71,"Lcn2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"72",72,"Tnn","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_dPRGs",NA,2,2
"73",73,"Scd4","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"74",74,"Pcdh8","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_dPRGs",NA,2,2
